,0
0,Arkansas
1,Connecticut
2,Delaware
3,Illinois
4,Indiana
5,Louisiana
6,Maryland
7,Massachusetts
8,Michigan
9,Minnesota
10,Mississippi
11,Missouri
12,Montana
13,Nebraska
14,New Hampshire
15,New Mexico
16,North Carolina
17,North Dakota
18,Ohio
19,Oklahoma
20,Oregon
21,Pennsylvania
22,Rhode Island
23,South Carolina
24,South Dakota
25,Tennessee
26,Utah
27,Vermont
28,Virginia
29,West Virginia
30,Wisconsin
31,Wyoming
